TYPE NORMATIEVE RELATIE;CODE NORMATIEVE RELATIE;JURICONNECT bronverwijzing ;Juridische bronverwijzing;TEKST (origineel);ACTOR;ONTVANGER;iHANDELING;OBJECT van iHANDELING;PRECONDITIE;POSTCONDITIE CREËREND;POSTCONDITIE TERMINEREND;Verwijzingen;Opmerkingen;TYPE NORMATIVE RELATION;CODE NORMATIVE RELATION;Legal reference to source;TEXT (English translation);ACTOR;RECIPIENT;iACT;OBJECT of iACT;PRECONDITION;POSTCONDITION CREATING;POSTCONDITION TERMINATING;References;Comments
BEVOEGD-GEHOUDEN;NR.Vw.16.1.a;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=a;Artikel 16, eerste lid, aanhef en onder a, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling niet beschikt over een geldige machtiging tot voorlopig verblijf die overeenkomt met het verblijfsdoel waarvoor de verblijfsvergunning is aangevraagd;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.a EN NIET (iFEIT.Vw.17.1.a OF iFEIT.Vw.17.1.b OF iFEIT.Vw.17.1.c OF iFEIT.Vw.17.1.d OF iFEIT.Vw.17.1.e OF iFEIT.Vw.17.1.f OF iFEIT.Vw.17.1.g OF iFEIT.Vw.17.1.h OF iFEIT.Vb.3.71.3);iFEIT.Vw.16.1.a.afwijzen;;" 1. [Onze Minister]: impliciete verwijzing naar Onze Minister van Justitie; (bron, impliciet: artikel 1, Vw)";[Onze Minister] is een impliciete verwijzing naar: de [Minister van Veiligheid en Justitie]. De Vw is niet gecorrigeerd voor de nieuwe naam van het Ministerie van Justitie. Is dat expres gedaan?;POWER-LIABILITY;NR.AA.16.1.a;Article 16, paragraph 1, introduction and under point a, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if: 
a. the alien does not possess a valid entry visa which corresponds to the purpose of stay for which the residence permit is sought.
";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.a AND NOT (iFACT.AA.17.1.a OR iFACT.AA.17.1.b OR iFACT.AA.17.1.c OR iFACT.AA.17.1.d OR iFACT.AA.17.1.e OR iFACT.AA.17.1.f OR iFACT.AA.17.1.g OR iFACT.AA.17.1.h OR iFACT.AD.3.71.3);iFACT.AA.16.1.a.reject;;" 1. Our Minister: implicit reference to Our Minister of Justice; (implicit; article 1 AA)";
BEVOEGD-GEHOUDEN;NR.Vw.16.1.b;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=b;Artikel 16, eerste lid, aanhef en onder b, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling niet beschikt over een geldig document voor grensoverschrijding;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.b EN NIET (iFEIT.Vb.3.72.vreemdeling OF iFEIT.Vc.B1.4.2.zin4.1 OF iFEIT.Vc.B1.4.2.zin4.2);iFEIT.Vw.16.1.b.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.b;Article 16, paragraph 1, introduction and under point b, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if: 
the alien does not possess a valid border-crossing document.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.b AND NOT (iFACT.AD.3.72.alien OR iFACT.AAIG.B1.4.2.sentence4.1 OR iFACT.AAIG.B1.4.2.sentence4.2);iFACT.AA.16.1.b.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.c;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=c;Artikel 16, eerste lid, aanhef en onder c, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling niet zelfstandig en duurzaam beschikt over voldoende middelen van bestaan dan wel, indien de persoon bij wie de vreemdeling wil verblijven, niet zelfstandig en duurzaam beschikt over voldoende middelen van bestaan;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.c;iFEIT.Vw.16.1.c.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.c;Article 16, paragraph 1, introduction and under point c, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if: 
the alien does not have sufficient, independent, long-term means of support, or if the person with whom the alien wants to live does not have  sufficient, independent, long-term means of support.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.c;iFACT.AA.16.1.c.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.d;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=d;Artikel 16, eerste lid, aanhef en onder d, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling een gevaar vormt voor de openbare orde of nationale veiligheid;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.d;iFEIT.Vw.16.1.d.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.d;Article 16, paragraph 1, introduction and under point d, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if: 
the alien constitutes a threat to public order or national security.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.d;iFACT.AA.16.1.d.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.e;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=e;Artikel 16, eerste lid, aanhef en onder e, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien:de vreemdeling niet bereid is om medewerking te verlenen aan een medisch onderzoek naar een ziekte aangewezen bij of krachtens de Infectieziektewet, ter bescherming van de volksgezondheid of een medische behandeling tegen een dergelijke ziekte te ondergaan;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.e;iFEIT.Vw.16.1.e.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.e;Article 16, paragraph 1, introduction and under point e, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if: 
the alien is not willing to submit to a medical examination for a disease designated by or under the Infectious Diseases Act, for the protection of public health, or to undergo medical treatment against such a disease.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.e;iFACT.AA.16.1.e.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.f;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=f;Artikel 16, eerste lid, aanhef en onder f, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling voor een werkgever arbeid verricht, zonder dat aan de Wet arbeid vreemdelingen is voldaan;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.f;iFEIT.Vw.16.1.f.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.f;Article 16, paragraph 1, introduction and under point f, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if:
the alien performed labor for an employer, without meeting the conditions of the  Aliens Employment Act.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.f;iFACT.AA.16.1.f.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.g;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=g;Artikel 16, eerste lid, aanhef en onder g, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling niet voldoet aan de beperking, verband houdende met het doel waarvoor hij wil verblijven;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.g;iFEIT.Vw.16.1.g.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.g;Article 16, paragraph 1, introduction and under point g, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if: 
the alien does not comply with the conditions related to the purpose for which he wishes to reside.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.g;iFACT.AA.16.1.g.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.h;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=h;Artikel 16, eerste lid, aanhef en onder h, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling, die niet behoort tot een der categorieën, bedoeld in artikel 17, eerste lid, na verkrijging van rechtmatig verblijf in Nederland inburgeringsplichtig zou zijn op grond van de artikelen 3 en 5 van de Wet inburgering en niet beschikt over kennis op basisniveau van de Nederlandse taal en de Nederlandse maatschappij;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.h.inburgeringsplichtig EN iFEIT.Vw.16.1.h.kennis EN iFEIT.Vw.16.1.h.categorieën;iFEIT.Vw.16.1.h.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.h;Article 16, paragraph 1, introduction and under point h, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if:
the alien does not have basic knowledge of the Dutch language and Dutch society, while he does not belong to one of the categories referred to in Article 17, first paragraph, and who, after obtaining lawful residence in the Netherlands would be required to integrate on the basis of Articles 3 and 5 of the Integration Act.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.h;iFACT.AA.16.1.h.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.i;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=i;Artikel 16, eerste lid, aanhef en onder i, Vw;"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling onjuiste gegevens heeft verstrekt dan wel gegevens heeft achtergehouden terwijl die gegevens tot afwijzing van een eerdere aanvraag tot het verlenen, verlengen of wijzigen van een visum of een verblijfsvergunning hebben geleid of zouden hebben geleid;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.i;iFEIT.Vw.16.1.i.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.i;Article 16, paragraph 1, introduction and under point i, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if:
the alien has given incorrect information, or has withheld information in circumstances where such information should or could have resulted in the rejecting of an earlier application for the grant, renewal, or change of a visa or a residence permit.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.i;iFACT.AA.16.1.i.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.j;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=j;Artikel 16, eerste lid, aanhef en onder j, Vw;Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: de vreemdeling in Nederland verblijf heeft gehouden, anders dan op grond van artikel 8.;[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.j;iFEIT.Vw.16.1.j.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.j;Article 16, paragraph 1, introduction and under point j, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if:
the alien resided in the Netherlands other than in accordance with Article 8.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.j;iFACT.AA.16.1.j.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.16.1.k;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&lid=1&nummer=k;Artikel 16, eerste lid, aanhef en onder k, Vw;Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: ten behoeve van het verblijf van de vreemdeling geen verklaring van een referent is overgelegd als bedoeld in artikel 2a, eerste lid.;[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.16.1.k;iFEIT.Vw.16.1.k.afwijzen;;;;POWER-LIABILITY;NR.AA.16.1.k;Article 16, paragraph 1, introduction and under point k, AA;"An application to grant a temporary residence permit as referred to in Article 14 may be rejected if:
the sponsor did not submit a statement on the residence of the alien pursuant to Article 2a, first paragraph.";[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.16.1.k;iFACT.AA.16.1.k.reject;;;
