OBJECT;NAAM;DEFINITIE;JURICONNECT bronverwijzing ;Juridische bronverwijzing;Opmerkingen;OBJECT (English);NAME;DEFINITION;Legal reference to source;Notes;Used;;;;;;
iFEIT.Awb.4:1.bevoegd;bestuursorgaan bevoegd;het bestuursorgaan is bevoegd op de aanvraag te beslissen;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:1;Artikel 4:1, Awb;;iFACT.GAL.4:1.authorized;application issued to authorized authority;the application to issue a decision is submitted to the administrative authority authorized to decide on the application;Article 4:1 GAL;;Ja;;;;;;
iFEIT.Awb.4:1.schriftelijk;aanvraag schriftelijk;een aanvraag wordt schriftelijk ingediend;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:1;Artikel 4:1, Awb;;iFACT.GAL.4:1.written;application in writing;the application to issue a decision is submitted in writing;Article 4:1 GAL;;Ja;;;;;;
iFEIT.Awb.4:1.voorschrift;niet anders bepaald;tenzij bij wettelijk voorschrift anders is bepaald;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:1;Artikel 4:1, Awb;;iFACT.GAL.4:1.unless;unless otherwise provided by law;unless otherwise provided by law;Article 4:1 GAL;;Ja;;;;;;
iFEIT.Awb.4:2.1;ondertekenend, naam en adres, dagtekening, aanduiding beschikking;"de aanvraag wordt ondertekend en bevat ten minste:
a. de naam en het adres van de aanvrager
b. de dagtekening
c. een aanduiding van de beschikking die wordt gevraagd";jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=4&Titel=4.1&Paragraaf=4.1.1&Artikel=4:2&Lid=1;Artikel 4:2, eerste lid, Awb;;iFACT.GAL.4:2.1;the application contains a subject, date, signature, name and address;"the application shall be signed and contains at least:
a. the name and address of the applicant
b. the date
c. an indication of the decision is requested";Article 4:2, paragraph 1, GAL;;Ja;;;;;;
iFEIT.Awb.4:2.2;verschaffen gegevens en bescheiden;de aanvrager verschaft de gegevens en bescheiden die voor de beslissing op de aanvraag nodig zijn en waarover hij redelijkerwijs de beschikking kan krijgen;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=4&Titel=4.1&Paragraaf=4.1.1&Artikel=4:2&Lid=2;Artikel 4:2, tweede lid, Awb;;iFACT.GAL.4:2.2;applicant provides data and documents;the applicant provides the data and documents that are needed for making the decision, and over which the applicant can dispose of in fairness;Article 4:2, paragraph 2, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.1.niet.in.behandeling.nemen;aanvraag wordt niet in behandeling genomen;het bestuursorgaan besluit de aanvraag niet te behandelen;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 1, aanhef, Awb;;iFACT.GAL.4:5.1.disregard;the application is diregarded;the administrative authority decides to disregard the application;Article 4:5, paragraph 1, introduction, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.1.a;niet voldaan aan enig wettelijk voorschrift;"de aanvrager heeft niet voldaan aan enig wettelijk voorschrift voor het in behandeling nemen van de aanvraag
";jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 1, onder a, Awb;;iFACT.GAL.4:5.1.a;;the applicant has not complied with any statutory provision for the handling of the application;Article 4:5, paragraph 1, point a, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.1.b;geweigerde digitale aanvraag;de aanvraag is geheel of gedeeltelijk geweigerd op grond van artikel 2:15;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 1, onder b, Awb;;iFACT.GAL.4:5.1.b;;the application is totally or partially refused on the basis of Article 2:15;Article 4:5, paragraph 1, point b, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.1.c;onvoldoende gegevens verstrekt;de verstrekte gegevens en bescheiden onvoldoende zijn voor de beoordeling van de aanvraag of voor de voorbereiding van de beschikking;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 1, onder c, Awb;;iFACT.GAL.4:5.1.c;;the information and documents supplied are inadequate for the evaluation of the application or for the preparation of the order;Article 4:5, paragraph 1, point c, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.1.mits;mits aanvrager aanvraag kon aanvullen;de aanvrager heeft de gelegenheid gehad de aanvraag binnen een door het bestuursorgaan gestelde termijn aan te vullen.;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 1, Awb;;iFACT.GAL.4:5.1.provided;;provided that the applicant has had the opportunity to supplement the application within a period specified by the administrative authority;Article 4:5, paragraph 1, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.2;vertaling gegevens in vreemde taal nodig;de aanvraag of een van de daarbij behorende gegevens of bescheiden is in een vreemde taal gesteld en een vertaling daarvan is noodzakelijk voor de beoordeling van de aanvraag of voor de voorbereiding van de beschikking;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 2, Awb;;iFACT.GAL.4:5.2;;the administrative authority may decide to disregard the application if the application, or any of the accompanying information or documents, are written in a foreign language and a translation is necessary for the assessment of the application, or for the preparation of the order, provided that the applicant has had the opportunity, within a period specified by the administrative authority, to supplement the application with a translation;Article 4:5, paragraph 2, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.3;samenvatting gegevens nodig;de aanvraag of een van de daarbij behorende gegevens of bescheiden is omvangrijk of ingewikkeld en een samenvatting is noodzakelijk voor de beoordeling van de aanvraag of voor de voorbereiding van de beschikking;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 3, Awb;;iFACT.GAL.4:5.3;;the administrative authority may decide to disregard the application if the application, or any of the associated data records, are large or complex, and a summary is necessary for the evaluation of the application or for the preparation of the order, provided that the applicant has had the opportunity, within a period specified by the administrative authority, to supplement the application with a summary;Article 4:5, paragraph 3, GAL;;Ja;;;;;;
iFEIT.Awb.4:5.4;besluit binnen vier weken na aanvullen aanvraag;een besluit om de aanvraag niet te behandelen wordt aan de aanvrager bekendgemaakt binnen vier weken nadat de aanvraag is aangevuld of nadat de daarvoor gestelde termijn ongebruikt is verstreken;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5, lid 4, Awb;;iFACT.GAL.4:5.4;;a decision to disregard the application is communicated to the applicant within four weeks after the application is completed, or after the specified period to supplement the application has expired unused;Article 4:5, paragraph 4, GAL;;Ja;;;;;;
iFEIT.Vb.3.71.3;afwijzing leidt tot onbillikheid;afwijzen van de aanvraag van een verblijfsvergunning voor bepaalde tijd omdat de vreemdeling niet beschikt over een geldige machtiging tot voorlopig verblijf zal naar het oordeel van Onze Minister leiden tot een onbillijkheid van overwegende aard;jci1.31:c:BWBR0011825&g=2016-03-01&Hoofdstuk=3&Afdeling=2&Paragraaf=3&Artikel=3.71&Lid=3;Artikel 3.71, lid 3, Vb;;iFACT.AD.3.71.3;rejection leads to a case of extreme unfair nature;rejection leads to a case of extreme unfair nature;Article 3.71, paragraph 3, AD;;Ja;;;;;;
iFEIT.Vb.3.72.vreemdeling;vanwege regering land vreemdeling geen paspoort;de vreemdeling heeft naar het oordeel van Onze Minister aangetoond dat hij vanwege de regering van het land waarvan hij onderdaan is, niet of niet meer in het bezit van een geldig document voor grensoverschrijding kan worden gesteld;jci1.31:c:BWBR0011825&g=2016-03-01&Hoofdstuk=3&Afdeling=2&Paragraaf=3&Artikel=3.72;Artikel 3.72, Vb;;iFACT.AD.3.72.alien;;the alien proofs that he can not (any longer) be put in possession of a valid border-crossing document due to the government of his country;Article 3.72, AD;;Ja;;;;;;
iFEIT.Vc.B1.4.2.zin4.1;vreemdeling is onderdaan Somali‘;de vreemdeling is onderdaan van Somali‘, en er is geen internationaal erkend centraal gezag in Somali‘ en Nederland erkent de Somalische autoriteiten en door hen uitgegeven documenten niet;jci1.31:c:BWBR0012289&g=2013-06-01&Circulaire.divisie=B1&Hoofdstuk=4&Paragraaf=4&Volzin=4;B1/4.2 zin 4 Vc;;iFACT.AAIG.B1.4.2.sentence4.1;the alien is citizen of Somalia;the alien is citizen of Somalia;B1/4.2 sentence 4 AAIG;;Ja;;;;;;
iFEIT.Vc.B1.4.2.zin4.2;vreemdeling is een in Nederland geboren kind;"de vreemdeling is een hier te lande geboren kind dat een verblijfsvergunning regulier bepaalde tijd voor verblijf bij ouder (familie- en gezinslid) aanvraagt, en voldoet aan alle volgende voorwaarden:
¥ beide ouders zijn in het bezit van een geldige verblijfsvergunning; en
¥ beide ouders zijn vrijgesteld van het vereiste over een geldig document voor grensoverschrijding te beschikken";jci1.31:c:BWBR0012289&g=2013-06-01&Circulaire.divisie=B1&Hoofdstuk=4&Paragraaf=4&Volzin=4;B1/4.2 zin 4;;iFACT.AAIG.B1.4.2.sentence4.2;;children born in this country born who apply for stay with their parents, provided they meet the conditions;B1/4.2 sentence 4 AAIG;;Ja;;;;;;
iFEIT.Vw.14.1.a.aanvraag;aanvraag VVR BEP;de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&Lid=1&Nummer=a;Artikel 14, lid 1, onder a, Vw;;iFACT.AA.14.1.a.application;;the application to grant a temporary residence permit;Article 14, paragraph 1, point a, AA;;Ja;;;;;;
iFEIT.Vw.14.1.a.afwijzen;aanvraag VVR BEP wordt afgewezen;de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd wordt afgewezen;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&Lid=1&Nummer=a;Artikel 14, lid 1, onder a, Vw;;iFACT.AA.14.1.a.reject;;the application to grant a temporary residence permit is rejected;Article 14, paragraph 1, point a, AA;;Ja;;;;;;
iFEIT.Vw.14.1.a.inwilligen;aanvraag VVR BEP wordt ingewilligd;de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd wordt ingewilligd;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&Lid=1&Nummer=a;Artikel 14, lid 1, onder a, Vw;;iFACT.AA.14.1.a.grant;;the application to grant a temporary residence permit is granted;Article 14, paragraph 1, point a, AA;;Ja;;;;;;
iFEIT.Vw.14.1.a.niet.in.behandeling.nemen;aanvraag VVR BEP wordt niet in behandeling genomen;de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd wordt niet in behandeling genomen;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&Lid=1&Nummer=a;Artikel 14, lid 1, onder a, Vw;;iFACT.AA.14.1.a.disregard;;the application to grant a temporary residence permit is disregarded;Article 14, paragraph 1, point a, AA;;Ja;;;;;;
iFEIT.Vw.16.1.a;geen geldige mvv;de vreemdeling beschikt niet over een geldige machtiging tot voorlopig verblijf die overeenkomt met het verblijfsdoel waarvoor de verblijfsvergunning is aangevraagd;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=a;Artikel 16, lid 1, onder a, Vw;;iFACT.AA.16.1.a;;the alien does not possess a valid entry visa corresponding to the purpose of stay for which the temporary residence permit is applied for;Article 16, paragraph 1, point a, AA;;Ja;;;;;;
iFEIT.Vw.16.1.a.afwijzen;afgewezen op mvv-vereiste;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling niet beschikt over een geldige machtiging tot voorlopig verblijf die overeenkomt met het verblijfsdoel waarvoor de verblijfsvergunning is aangevraagd;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=a;Artikel 16, lid 1, aanhef en onder a, Vw;;iFACT.AA.16.1.a.reject;;the application to grant a temporary residence permit is rejected because the alien does not possess a valid entry visa corresponding to the purpose of stay for which the temporary residence permit is applied for;Article 16, paragraph 1, introduction and point a, AA;;Ja;;;;;;
iFEIT.Vw.16.1.b;geen geldig paspoort;de vreemdeling beschikt niet over een geldig document voor grensoverschrijding;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=b;Artikel 16, lid 1, onder b, Vw;;iFACT.AA.16.1.b;;the alien does not possess a valid border-crossing document;Article 16, paragraph 1, point b, AA;;Ja;;;;;;
iFEIT.Vw.16.1.b.afwijzen;afgewezen op paspoortvereiste;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling niet beschikt over een geldig document voor grensoverschrijding;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=b;Artikel 16, lid 1, aanhef en onder b, Vw;;iFACT.AA.16.1.b.reject;;the application to grant a temporary residence permit is rejected because the alien does not possess a valid border-crossing document;Article 16, paragraph 1, introduction and point b, AA;;Ja;;;;;;
iFEIT.Vw.16.1.c;onvoldoende middelen;de vreemdeling beschikt niet zelfstandig en duurzaam over voldoende middelen van bestaan dan wel, de persoon bij wie de vreemdeling wil verblijven, beschikt niet zelfstandig en duurzaam over voldoende middelen van bestaan;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=c;Artikel 16, lid 1, onder c, Vw;;iFACT.AA.16.1.c;;the alien, or the person with whom the alien wants to live, does not have sufficient, independent, long-term means of support;Article 16, paragraph 1, point c, AA;;Ja;;;;;;
iFEIT.Vw.16.1.c.afwijzen;afgewezen op middelenvereiste;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling beschikt niet zelfstandig en duurzaam over voldoende middelen van bestaan dan wel, de persoon bij wie de vreemdeling wil verblijven, beschikt niet zelfstandig en duurzaam over voldoende middelen van bestaan;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=c;Artikel 16, lid 1, aanhef en onder c, Vw;;iFACT.AA.16.1.c.reject;;the application to grant a temporary residence permit is rejected because the alien, or the person with whom the alien wants to live, does not have sufficient, independent, long-term means of support;Article 16, paragraph 1, introduction and point c, AA;;Ja;;;;;;
iFEIT.Vw.16.1.d;gevaar OO of nationale veiligheid;de vreemdeling vormt een gevaar voor de openbare orde of nationale veiligheid;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=d;Artikel 16, lid 1, onder d, Vw;;iFACT.AA.16.1.d;;the alien constitutes a threat to public order or national security;Article 16, paragraph 1, point d, AA;;Ja;;;;;;
iFEIT.Vw.16.1.d.afwijzen;afgewezen op OO of nationale veiligheid;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling vormt een gevaar voor de openbare orde of nationale veiligheid;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=d;Artikel 16, lid 1, aanhef en onder d, Vw;;iFACT.AA.16.1.d.reject;;the application to grant a temporary residence permit is rejected because the alien constitutes a threat to public order or national security;Article 16, paragraph 1, introduction and point d, AA;;Ja;;;;;;
iFEIT.Vw.16.1.e;geen medisch onderzoek of behandeling;de vreemdeling is niet bereid om medewerking te verlenen aan een medisch onderzoek naar een ziekte aangewezen bij of krachtens de Wpg, ter bescherming van de volksgezondheid of een medische behandeling tegen een dergelijke ziekte te ondergaan;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=e;Artikel 16, lid 1, onder e, Vw;;iFACT.AA.16.1.e;;the alien is not willing to submit to a medical examination for a disease designated by or under the Infectious Diseases Act, for the protection of public health, or to undergo medical treatment against such a disease;Article 16, paragraph 1, point e, AA;;Ja;;;;;;
iFEIT.Vw.16.1.e.afwijzen;afgewezen op weigeren medisch onderzoek of behandeling;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling is niet bereid om medewerking te verlenen aan een medisch onderzoek naar een ziekte aangewezen bij of krachtens de Wpg, ter bescherming van de volksgezondheid of een medische behandeling tegen een dergelijke ziekte te ondergaan;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=e;Artikel 16, lid 1, aanhef en onder e, Vw;;iFACT.AA.16.1.e.reject;;the application to grant a temporary residence permit is rejected because the alien is not willing to submit to a medical examination for a disease designated by or under the Infectious Diseases Act, for the protection of public health, or to undergo medical treatment against such a disease;Article 16, paragraph 1, introduction and point e, AA;;Ja;;;;;;
iFEIT.Vw.16.1.f;arbeid in strijd met Wav;de vreemdeling heeft voor een werkgever arbeid verricht, zonder dat aan de Wet arbeid vreemdelingen is voldaan;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=f;Artikel 16, lid 1, onder f, Vw;;iFACT.AA.16.1.f;;the alien performed labor for an employer, without meeting the conditions of the  Aliens Employment Act;Article 16, paragraph 1, point f, AA;;Ja;;;;;;
iFEIT.Vw.16.1.f.afwijzen;afgewezen vanwege overtreding Wav;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling heeft voor een werkgever arbeid verricht, zonder dat aan de Wet arbeid vreemdelingen is voldaan;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=f;Artikel 16, lid 1, aanhef en onder f, Vw;;iFACT.AA.16.1.f.reject;;the application to grant a temporary residence permit is rejected because the alien performed labor for an employer, without meeting the conditions of the  Aliens Employment Act;Article 16, paragraph 1, introduction and point f, AA;;Ja;;;;;;
iFEIT.Vw.16.1.g;niet voldoen aan verblijfsdoelspecifieke voorwaarden;de vreemdeling voldoet niet aan de beperking, verband houdende met het doel waarvoor hij wil verblijven;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=g;Artikel 16, lid 1, onder g, Vw;;iFACT.AA.16.1.g;;the alien does not comply with the conditions related to the purpose for which he wishes to reside;Article 16, paragraph 1, point g, AA;;Ja;;;;;;
iFEIT.Vw.16.1.g.afwijzen;afgewezen vanwege niet voldoen aan verblijfsdoelspecifieke voorwaarden;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling voldoet niet aan de beperking, verband houdende met het doel waarvoor hij wil verblijven;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=g;Artikel 16, lid 1, aanhef en onder g, Vw;;iFACT.AA.16.1.g.reject;;the application to grant a temporary residence permit is rejected because the alien does not comply with the conditions related to the purpose for which he wishes to reside;Article 16, paragraph 1, introduction and point g, AA;;Ja;;;;;;
iFEIT.Vw.16.1.h;inburgeringsplicht;de vreemdeling, behoort niet tot een der categorie‘n, bedoeld in artikel 17, eerste lid, na verkrijging van rechtmatig verblijf in Nederland inburgeringsplichtig zou zijn op grond van de artikelen 3 en 5 van de Wet inburgering en beschikt niet over kennis op basisniveau van de Nederlandse taal en de Nederlandse maatschappij;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=h;Artikel 16, lid 1, onder h, Vw;;iFACT.AA.16.1.h;;the alien does not have basic knowledge of the Dutch language and Dutch society, while he does not belong to one of the categories referred to in Article 17, first paragraph, and who, after obtaining lawful residence in the Netherlands would be required to integrate on the basis of Articles 3 and 5 of the Integration Act;Article 16, paragraph 1, point h, AA;;Ja;;;;;;
iFEIT.Vw.16.1.i;onjuiste of onvolledige gegevens verstrekt;de vreemdeling heeft onjuiste gegevens verstrekt dan wel gegevens achtergehouden terwijl die gegevens tot afwijzing van een eerdere aanvraag tot het verlenen, verlengen of wijzigen van een visum of een verblijfsvergunning hebben geleid of zouden hebben geleid;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=i;Artikel 16, lid 1, onder i, Vw;;iFACT.AA.16.1.i;;the alien has given incorrect information, or has withheld information in circumstances where such information should or could have resulted in the rejecting of an earlier application for the grant, renewal, or change of a visa or a residence permit;Article 16, paragraph 1, point i, AA;;Ja;;;;;;
iFEIT.Vw.16.1.i.afwijzen;afgewezen omdat onjuiste of onvolledige zijn gegevens verstrekt;een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw, wordt afgewezen omdat de vreemdeling heeft onjuiste gegevens verstrekt dan wel gegevens achtergehouden terwijl die gegevens tot afwijzing van een eerdere aanvraag tot het verlenen, verlengen of wijzigen van een visum of een verblijfsvergunning hebben geleid of zouden hebben geleid;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=i;Artikel 16, lid 1, aanhef en onder i, Vw;;iFACT.AA.16.1.i.reject;;the application to grant a temporary residence permit is rejected because the alien has given incorrect information, or has withheld information in circumstances where such information should or could have resulted in the rejecting of an earlier application for the grant, renewal, or change of a visa or a residence permit;Article 16, paragraph 1, introduction and point i, AA;;Ja;;;;;;
iFEIT.Vw.16.1.j;vreemdeling had illegaal verblijf;de vreemdeling in heeft Nederland verblijf gehouden, anders dan op grond van artikel 8;jci1.31:c:BWBR0011823&g=2013-09-21&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=16&Lid=1&Nummer=j;Artikel 16, lid 1, onder j, Vw;;iFACT.AA.16.1.j;;the alien resided in the Netherlands other than in accordance with iFACT.AA.8;Article 16, paragraph 1, point j, AA;;Ja;;;;;;
